menu;famille;marque;modele;description_catalogue;remarque
Audio;Traitement;TC Electronic;System 6000;Multieffet;
Audio;Traitement;TC Electronic;M2000;Multieffet;
Audio;Traitement;TC Electronic;D-Two;Delay;
Audio;Traitement;Lexicon;PCM70 / PCM90 / PCM91;Réverbérations;
Audio;Traitement;Klark Teknik;DN370;Égaliseur 2 x 30 bandes;
Audio;Enregistrement;Denon;DN-500;Lecteur CD / USB;
Audio;Enregistrement;Denon;DN-620;Lecteur CD;
Audio;Enregistrement;Pioneer DJ;CDJ-3000;Lecteur DJ;
Audio;Enregistrement;Pioneer DJ;CDJ-2000NXS2;Lecteur DJ;
Audio;Enregistrement;Technics;SL-1200MK2;Platine vinyle;
Audio;Consoles;Pioneer DJ;DJM-A9;Console DJ;
Audio;Consoles;Pioneer DJ;DJM-900NXS2;Console DJ;
Audio;Consoles;Allen & Heath;Xone:92;Console DJ;
Audio;Enregistrement;Tascam;DR-40;Enregistreur;
Audio;Enregistrement;Numark;MP103;Lecteur CD / USB;À confirmer
Audio;Intercom;Altair;WBS-200;Centrale intercom HF;
Audio;Intercom;Altair;WBS-202;Centrale intercom HF 2 canaux;
Audio;Intercom;Altair;WBP-210;Boîtier ceinture HF 1 canal;
Audio;Intercom;Altair;WBP-212;Boîtier ceinture HF 2 canaux;
Audio;Intercom;Altair;EF-200;Centrale intercom 2 canaux;
Audio;Intercom;Altair;EM-201;Boîtier ceinture 1 canal;
Audio;Intercom;Altair;EM-202;Boîtier ceinture 2 canaux;
Audio;Intercom;Altair;4W-200;Interface 4 fils;
Audio;Intercom;Altair;ES-200;Station de table 2 canaux;
Audio;Intercom;Altair;EB-200;Boîtier oreillette HF;
Audio;Intercom;Green-GO;MCX;Panel 32 ports;Marque déduite (car régie K2) ; mêmes désignations Green-GO chez Novelty
Audio;Intercom;Green-GO;WPANEL;Panel 32 ports;Marque déduite, désignation absente chez Novelty : à confirmer
Audio;Intercom;Green-GO;BPX;Boîtier ceinture;Mêmes désignations Green-GO chez Novelty
Audio;Intercom;Green-GO;WBPX;Poste ceinture HF;Mêmes désignations Green-GO chez Novelty
Audio;Intercom;Motorola;GP340;Talkie-walkie;
Audio;Intercom;Icom;IC-F22;Talkie-walkie;Désignation catalogue « ICF 22 »
Audio;Intercom;Shure;BRH441;Casque;
Audio;Intercom;Shure;BRH440;Micro casque commentateur;
Image;Affichage;Novastar;NovaPro 4K;Processeur mur LED;Désignation catalogue « NOVAPRO »
Image;Affichage;Novastar;VX4S;Processeur / scaler;
Image;Affichage;Christie;Projecteur 30 000 lm;Modèle non indiqué;
Image;Affichage;Panasonic;PT-MZ20K;Vidéoprojecteur laser 20 000 lm;
Image;Affichage;Panasonic;PT-MZ770;Vidéoprojecteur laser 8 000 lm;
Image;Affichage;Panasonic;PT-VW360;Vidéoprojecteur 4 000 lm;
Image;Grilles et conversion;Kiloview;E3;Encodeur NDI;
Image;Grilles et conversion;Kiloview;N6;Décodeur NDI;
Image;Grilles et conversion;Panasonic;ET-YFB100G;Transmetteur HDBaseT;Désignation catalogue « HDBT1 », à confirmer
Image;Affichage;Sony;Moniteur 75" 4K;Modèle non indiqué;
Image;Affichage;JVC;Moniteur broadcast 24";Modèle non indiqué;
Image;Affichage;Datavideo;Moniteur 17";Modèle non indiqué;
Image;Affichage;Lilliput;Moniteur 7" / 10";Modèles non indiqués;
Image;Mélangeurs vidéo;Analog Way;NeXtage 16 4K;Mélangeur / scaler;
Image;Mélangeurs vidéo;Blackmagic Design;ATEM Mini Pro;Mélangeur;
Image;Mélangeurs vidéo;Blackmagic Design;ATEM Constellation 8K;Mélangeur;
Image;Mélangeurs vidéo;Panasonic;AV-HS410;Mélangeur 8 entrées;Catalogue : « AVHS400 », à confirmer
Image;Mélangeurs vidéo;NewTek;3Play;Serveur de ralentis;
Image;Mélangeurs vidéo;Folsom;ImagePRO-II;Scaler;
Image;Grilles et conversion;Blackmagic Design;Videohub 12x12;Grille SDI;
Image;Grilles et conversion;Blackmagic Design;Videohub 40x40 12G;Grille SDI;
Image;Grilles et conversion;TV One;Sélecteur 8 canaux HD;Modèle non indiqué;
Image;Enregistrement;Blackmagic Design;HyperDeck Studio;Enregistreur;HyperDeck Studio Pro déjà dans la bibliothèque
Image;Grilles et conversion;Blackmagic Design;Web Presenter;Encodeur streaming;
Image;Affichage;Blackmagic Design;UltraScope;Vectorscope;
Image;Caméras;Panasonic;AK-UC4000;Caméra UHD;
Image;Contrôle;Panasonic;AK-UCU600;CCU fibre;Catalogue : « AK-UCU6000 », à confirmer
Image;Contrôle;Panasonic;AK-HRP1010;Panneau de réglage (RCP);
Image;Caméras;Panasonic;AW-UE150;Caméra tourelle 4K;
Image;Contrôle;Panasonic;AW-RP150;Pupitre de commande PTZ;
Image;Caméras;Sony;PMW-400;Caméra HD;
Image;Caméras;Sony;PMW-EX3;Caméra d'épaule HD;
Image;Caméras;Sony;PMW-EX1;Caméra de poing HD;
Image;Contrôle;Sony;RM-B150 / RM-B170 / RM-B750 / RCP-750;Télécommandes caméra;
Image;Grilles et conversion;Blackmagic Design;Convertisseurs Mini / Micro / Teranex;Modèles non indiqués;
Image;Grilles et conversion;Decimator;Quad / MD-HX;Multiviewer;
Image;Grilles et conversion;Teradek;Bolt / Beam;Liaison HF vidéo;Désignation « BEAM » à confirmer
Distribution;Électrique;;A400;Armoire Powerlock 400 A;Fabricant non indiqué
Distribution;Électrique;;A250;Armoire Powerlock 250 A;Fabricant non indiqué
Distribution;Électrique;;A125;Armoire P17 125 A;Fabricant non indiqué
Distribution;Électrique;;A63;Armoire P17 63 A;Fabricant non indiqué
Distribution;Électrique;;A32;Armoire P17 32 A;Fabricant non indiqué
Distribution;Électrique;;B32 / B32M / B32T / B232T;Boîtes de distribution 32 A;Fabricant non indiqué
