menu;marque;modele;description_catalogue;page
Image;ROSS;CARBONITE BLACK SOLO;Mélangeur 3GSDI, 6 SDI, 3 HDMI in, 5 SDI, 1 HDMI out;68
Image;BLACKMAGIC DESIGN;ATEM TV STUDIO PRO 4K;Mélangeur 12GSDI à 8 entrées;68
Image;LUMANTEK;EZ-PRO VS4;Mélangeur HD 4 entrées (1 SDI, 2 HDMI, 1 SDI ou HDMI), 1 sortie HDMI + SDI,;68
Image;BLACKMAGIC DESIGN;ATEM TV STUDIO HD;Mélangeur 3GSDI, livré avec un Web Presenter HD;68
Image;PANASONIC;AV-HS410;Mélangeur vidéonumérique HD / SD / Multi-formats;68
Image;BLACKMAGIC DESIGN;ATEM MINI PRO;Mélangeur HDMI 4 entrées et 1 sortie, +1 sortie USB-C et 1 sortie Ethernet pour le streaming;68
Image;BLACKMAGIC DESIGN;ATEM 2M/E CONSTELLATION HD;Mélangeur 3GSDI, 20 SDI, 12 SDI OUT, 2 MV;68
Image;BLACKMAGIC DESIGN;ATEM MICRO PANEL;Panel USBC pour mélangeur ATEM;68
Image;NOVASTAR;V1;Convertisseur de résolution vidéo 4K;69
Image;FOLSOM;IMAGE PRO-II;Convertisseur de résolution vidéo, convertisseur de balayage et commutateur-mélangeur;69
Image;FOLSOM;IMAGE PRO-HD;Transcodeur, scaler, down converter, switcher seamless,;69
Image;DECIMATOR;DD-12G-CROSS;Convertisseur numérique multiformats 4K;69
Image;DECIMATOR;MD-HX;Convertisseur numérique multiformats;69
Image;DECIMATOR;DD-4S;Multiviewer convertisseur quad 3G SDI;69
Image;XVISION;XVVSDI2HDMI;Convertisseur 3G SDI vers HDMI (avec audio intégré);69
Image;BLACKMAGIC DESIGN;MicroConverter bidirectionnel;Convertisseur HDMI vers 3G SDI et 3G SDI vers HDMI;69
Image;BLACKMAGIC DESIGN;MicroConverter 12G SDI to;Micro convertisseur 12G SDI vers HDMI 4K (avec audio intégré);69
Image;BLACKMAGIC DESIGN;Web Presenter HD;Solution de streaming, livré avec un Atem TV Studio HD;69
Image;KILOVIEW;N50;Encodeur décodeur 12GSDI NDI Full / NDI HX2/3;69
Image;KILOVIEW;N60;Encodeur décodeur HDMI 2.0 NDI Full / NDI HX2/3;69
Image;BLACKMAGIC DESIGN;TERANEX MINI 12GSDI 4K;;70
Image;LANSEE;12GSDI 4K 2 x;;70
Image;XVISION;3GSDI 2 x 1;DVI;70
Image;KRAMER;VM4HDCPXL;1 x 4 avec gestion EDID;70
Image;XVISION;1 x 4 HDMI 2.0;EXTRON DA4HDMI / 4K/4K+           1x4;70
Image;AJA;3G-AMA;Embeddeur/Dé-embeddeur audio XLR - 3G SDI;70
Image;AJA;HD 10 AMA;Embeddeur/Dé-embeddeur audio XLR - HDSDI;70
Image;BLACKMAGIC DESIGN;Smart videohub Cleanswitch;12 x 12 6GSDI avec synchroniseurs;70
Image;FOLSOM;Matrix Pro;8 x 8 HDSDI;70
Image;KRAMER;VS-311H;3x1;70
Image;KRAMER;VS-41-H;4x1;70
Image;LANSEE;TIDY RACK;Station d'acceuil pour 8 tidy avec alimentation;71
Image;XVISION;SDIFIBER;Liaison sur connecteurs Neutrik® DUO / 3G-SDI;71
Image;DECIMATOR;DD-4S Multi viewer convertisseur;;73
Image;DATAPATH;FX4-H;1 entrée DP, 2 entrées HDMI, 4 sorties HDMI;73
Image;DATAPATH;X4;1 entrée DVI, 4 sorties DVI;73
Lumière;ROBE;iFORTE Fresnel;;80
Lumière;AYRTON;Rivale;;80
Lumière;CHAUVET;OVATION RÊVE F3 IP;;80
Lumière;CHAUVET;OVATION RÊVE E3;;80
Lumière;PORTMAN;S-TRIBE;;80
Lumière;ASTERA;AX2;ASTERA AX3                     ASTERA PIXELBRICK;81
Lumière;ASTERA;NYX BULB;ASTERA AX5;81
Lumière;ASTERA;AX9;;81
Lumière;GLP;JDC Line 1000;;81
Lumière;GLP;JDC Line 500;;81
Lumière;SGM;P3 Vision;;81
Lumière;ELATION;Proteus Hybrid;"Projecteur asservi, type lyre ""Spot""";83
Lumière;ROBE;BMFL Blade;"Projecteur asservi, type lyre ""Spot"",";83
Lumière;ROBE;Mega Pointe;Projecteur asservi, type lyre « Spot &;83
Lumière;ROBE;Pointe;Projecteur asservi, type lyre « Spot &;83
Lumière;MARTIN;MAC AXIOM HYBRID;Projecteur asservi, type lyre;83
Lumière;MARTIN;MAC Viper Perfo.;1000W HTi, 10 à 44° couteaux;83
Lumière;MARTIN;MAC Viper Profile 1000W;;83
Lumière;MARTIN;RUSH MH3 Beam;390W, 1 à 3,8°;83
Lumière;CLAY;PAKY SHARPY;Projecteur lyre asservie, type Spot,;83
Lumière;ROBE;Robospot;Système de poursuite automatisée;83
Lumière;ROBE;BMFL FollowSpot LT;Projecteur asservi, dédié système;83
Lumière;ROBE;BMFL WashBeam;"Projecteur asservi, type lyre ""Wash"",";83
Lumière;MARTIN;MAC Viper Wash DX;"Projecteur asservi, type lyre ""Wash""";83
Lumière;ELATION;Proteus Maximus Projecteur asservi,;IP65, 950W, 8 000°K;84
Lumière;ELATION;Picasso;Projecteur asservi à LED, 7 à 55°, 620 W;84
Lumière;ROBE;iForte LTX;Projecteur asservi à LED, 3,5 à 52°, 1000 W, IP65;84
Lumière;ROBE;Forte;Projecteur asservi à LED, 5,5 à 50°, 1250 W;84
Lumière;ROBE;Esprite;Projecteur asservi à LED, 5,5 à 50°, 650 W;84
Lumière;ROBE;MiniMe;"Projecteur asservi, type lyre LED RGB ""Spot""";84
Lumière;AYRTON;Ghibli;Projecteur asservi à LED, type lyre à couteaux;84
Lumière;MARTIN;MAC Quantum Profile LED;;84
Lumière;MARTIN;RUSH MH10 FX;60 W, 4.5°, anneau de 24 LED;84
Lumière;MARTIN;RUSH MH5 Profile;Lyre Spot à LED 75W;84
Lumière;SGM;G-Spot;850W, zoom 9-45°, étanche;84
Lumière;GLP;JDC1;Stroboscope hybride LED sur lyre asservie;84
Lumière;CHAUVET;ColorStrike Stroboscope hybride LED;;84
Lumière;GLP;X4bar 10;Projecteur linéaire à LED, 10x15 W RGBW;84
Lumière;GLP;X4bar 20;Projecteur linéaire à LED, 20x15 W RGBW;84
Lumière;AYRTON;Magic Blade R;Rampe de 7 LED 15W RGBW, angle beam 4.5°;84
Lumière;ROBE;Tarrantula;"Projecteur asservi, type lyre ""Wash""";84
Lumière;ROBE;Spiider;"Projecteur asservi, type lyre ""Wash""";85
Lumière;ROBE;Spikie;"Projecteur asservi, type lyre ""Wash Beam""";85
Lumière;ROBE;iBolt Projecteur asservi, type;10 000°K, 460W, IP65;85
Lumière;ROBE;iBOLT;ROBE iFORTE Fresnel   ROBE iFORTE LTX   AYRTON Rivale;85
Lumière;ROBE;LedBeam 150;"Projecteur asservi, type lyre ""Wash""";86
Lumière;AYRTON;MagicDot SX;"Projecteur asservi à LED 60W, type ""beam""";86
Lumière;AYRTON;MagicDot R;"Projecteur asservi à LED 60W, type ""beam""";86
Lumière;CLAY;PAKY K15;"Projecteur asservi type lyre ""Wash"",";86
Lumière;CLAY;PAKY K25;"Projecteur asservi type lyre ""Wash"",";86
Lumière;MARTIN;MAC Aura XIP;LED 7x60W RGB, zoom 6,3 à 50,4°;86
Lumière;MARTIN;MAC Aura PXL;LED 19x40W, zoom 7 à 55°;86
Lumière;MARTIN;MAC Quantum Wash LED;;86
Lumière;MARTIN;MAC Aura;LED-Zoom 11 à 58°;86
Lumière;MARTIN;RUSH MH6;LED-Zoom 10 à 60°, 150W;86
Lumière;MARTIN;MAC101;36 x LED RGB, 12,5°, blanc ou noir;86
Lumière;MA LIGHTING;Grand MA3 FullSIZE;16 univers DMX;89
Lumière;MA LIGHTING;Grand MA3 Light;8 univers DMX;89
Lumière;MA LIGHTING;Grand MA3 Compact XT;8 univers DMX;89
Lumière;MA LIGHTING;Grand MA2 FullSIZE;16 univers DMX;89
Lumière;MA LIGHTING;Grand MA2 Light;8 univers DMX;89
Lumière;MA LIGHTING;Grand MA2 Ultra Light;8 univers DMX;89
Lumière;MA LIGHTING;Dot2 XL-F;2 univers DMX;89
Lumière;MA LIGHTING;MA2on PC Command Wing;Surface de contrôle, fournie avec ordinateur;89
Lumière;MA LIGHTING;NPU;Unités de traitement réseaux;89
Lumière;MA LIGHTING;GPU M;Unités de traitement réseaux;89
Lumière;MA LIGHTING;GPU XL;Unités de traitement réseaux;89
Lumière;MA LIGHTING;VPU Basic MK2;Unité de gestion d’image,;89
Lumière;CHAMSYS;MQ500 Stadium;Console d'éclairage, 200 univers;89
Lumière;CHAMSYS;MQ80;Console d'éclairage, 24 univers, 12 288 canaux;89
Lumière;CHAMSYS;Quick20;Console d'éclairage, jusqu'à 1024 projecteurs;89
Lumière;LUMINEX;Node 12;12 IN 12 OUT, DMX;89
Lumière;LUMINEX;Node 4;4 IN 4 OUT, DMX;89
Lumière;LUMINEX;Node 4 Truss 4;;89
Lumière;LUMINEX;Node 2;2 IN 2 OUT, DMX;89
Lumière;LUMINEX;Node 2 Truss 2;;89
Lumière;OXO;Solano2;Boîtier de restitution DMX;89
Lumière;OXO;BBox6;Splitter-Booster de signal DMX/RDM;90
Lumière;SWISSON;XSR-R5-5R;Splitter-Booster de signal DMX/RDM,;90
Lumière;SWISSON;XPD-28;Splitter-Booster de signal DMX/RDM;90
Lumière;W-DMX;Black Box FLEX-1 G4;Émetteur Récepteur DMX HF;90
Lumière;W-DMX;Black Box FLEX-2 G5;Émetteur Récepteur DMX HF;90
Lumière;W-DMX;Black Box FLEX-1 G6;Émetteur Récepteur DMX HF;90
Lumière;W-DMX;Black Box Micro F1 G5;Émetteur Récepteur DMX HF, sur batterie;90
Lumière;OXO;TW512;Émetteur Récepteur DMX Wifi (pour ColorBatt);90
Lumière;LUMEN;RADIO INRFX1;Émetteur Récepteur CRMX NOVA DMX/RDM/ETH;90
Lumière;LUMEN;RADIO STARDUST;Émetteur Récepteur CRMX NOVA DMX/RDM/ETH;90
Lumière;ROBE;RDM Communicator;Interface DMX multi-fonctions;90
Lumière;MARTIN;Jem Glaciator Dynamic;Machine à fumée lourde;92
Lumière;MDG;ME1;Générateur de brouillard DMX, 1 sortie + ventilateur;92
Lumière;MDG;ME2;Générateur de brouillard DMX, 2 sorties + ventilateur;92
Lumière;MDG;Atmosphère ATMe Machine à;REEL FX DF50        Machine à brouillard DMX;92
Lumière;CHAUVET;VESUVIO II;Machine à brouillard;92
Lumière;MARTIN;Air Force One;Ventilateur à commande DMX;92
Lumière;MARTIN;HUILE;Dispersion normale ou lente, bidon de 5 litres;92
Lumière;MDG;Neutral;Bidon de 4 litres;92
Lumière;CHAUVET;ColorStrike;Stroboscope hybride LED sur lyre asservie, IP65;92
Lumière;MARTIN;Atomic 3000;Stroboscope 3000 W DMX + télécommande;92
Lumière;OXO;UV BEAM;Projecteur lumière noire à LED, 90 W, IP65;92
Lumière;CAMEO;Thunder Wash 600UV Projecteur;;92
Lumière;CAMEO;UV Bar 200 IR;Bar lumière noire à LED, 12 x 3W, 65°, DMX3B;92
Lumière;CHAUVET;Swarm 4;"Projecteur LED effet discothèque, type ""beam""";92
Lumière;CHAUVET;Double Derby;"Projecteur LED effet discothèque, type ""derby""";92
Lumière;CHAUVET;DJ Bank;"Projecteur LED effet discothèque, type ""chenillard""";92
Lumière;MDG;ME2 + Flight case;;93
Lumière;CAMEO;Thunder Wash;600UV;93
Lumière;ASTERA;HYPÉRION;Tube décoratif LED sur batterie, LED 144W RGBWW,;94
Lumière;ASTERA;TITAN TUBE;Tube décoratif LED sur batterie, LED 72W RGBWW,;94
Lumière;ASTERA;AX1;Tube décoratif LED sur batterie, LED 28W RGBW,;94
Lumière;ASTERA;AX3;Projecteur LED sur batterie, LED 15W, RGBW, angle 16°;94
Lumière;ASTERA;AX5;Projecteur LED sur batterie, LED 45W RGBW, angle 13°;94
Lumière;ASTERA;PixelBrick;Projecteur LED sur batterie, LED 15W RGBW, angle 13°;94
Lumière;ASTERA;Accessoires Accessoires pour projecteur;;94
Lumière;CHAUVET;WELL STX 360;Tube LED autonome, RGBW, IP65, set de 4;94
Lumière;MARTIN;VDO SCEPTRON 10 1000MM;Diffuseur flat, rond, carré et tube;95
Lumière;MARTIN;VDO SCEPTRON 10 320;Diffuseur flat, rond, carré et tube;95
Lumière;MARTIN;P3 POWERPORT 1500;Alimentation et switch DMX / Vidéo;95
Lumière;MARTIN;P3-175;Vidéo System Controller;95
Lumière;MARTIN;P3-050;Vidéo System Controller;95
Lumière;MARTIN;MAXEDIA COMPACT RACKMOUNT;Régie pour la composition et restitution de média, interface tactile conviviale;95
Lumière;MARTIN;BBD-BDD POWER DATA + CÂBLE;1 / 5 / 10 / 25 m;95
Lumière;OXO;PIXYLINE;Projecteur linéaire à LED, 14x10W, RGBW, 20x50°C, IP65;95
Lumière;AYRTON;ARCALINE2 3G;Rampe de 10 LED, Full Color RGBW, Angle 40°, 1020mm;95
Lumière;ELATION;KL PANEL XL Projecteur;ouverture 100°, 2000 à 10000° K, 544W;95
Lumière;ELATION;KL PANEL;Projecteur LED full RGB+W, type Cinéma-TV-Photo,;95
Lumière;ELATION;TVL2000 II;Projecteur LED (450 cool white & 450 warm white),;95
Lumière;SGM;P10 WASH;48 LED RGBW de 24W, angle d’ouverture 10°/19°/45°, IP66;96
Lumière;SGM;P6 WASH;24 LED RGBW de 24W, angle d’ouverture 10°/18°/47°, IP66;96
Lumière;SGM;P5 WASH;44 LED RGBW de 10W, angle d’ouverture 43°, IP66;96
Lumière;SGM;P2 WASH;18 LED RGBW de 10W angle d'ouverture 15°/21°/43°, IP66;96
Lumière;SGM;I2 WASH;69 LED RGBW, angle d'ouverture 8,5°, IP65;96
Lumière;SGM;Q10;Flood blind strobe 2048 LED RGB + 2048 LED White, angle d’ouverture 110°, IP65;96
Lumière;SGM;Q8;Flood blind strobe 1812 LED RGBW, angle d’ouverture 110°, IP65;96
Lumière;SGM;Q7;Flood blind strobe 2000 LED RGBW, angle d’ouverture 110°, IP65;96
Lumière;OXO;SUNFLOOD 500;Projecteur 24 x 20W LED Blanche 6000K, ouverture 12°, avec volets et lentilles (10°x40°, 16°, 40°);96
Lumière;ARRI;SKYPANEL S30-C;;96
Lumière;ARRI;SKYPANEL S60-C;;96
Lumière;ARRI;SKYPANEL S360-C;;96
Lumière;CHAUVET;Colorado Quad 2 Zoom IP;14 x LED RGBW de 15W, angle d’ouverture 6.3°;97
Lumière;CHAUVET;SlimPAR Pro H USB;PAR LED 12x10 W RGBAW + UV, angle d'ouverture 24°;97
Lumière;CHAUVET;ColorDash Accent Quad;PAR LED 10W RGBA, angle d'ouverture 15°-29°;97
Lumière;CHAUVET;Well Fit;Projecteur LED, 4 x RGBA de 10W, ouverture 11-18°, sur batterie, autonomie 8 à 20h,;97
Lumière;ETC;Source 4;Corps + optique fixe 5/10/14°;98
Lumière;ETC;Source 4 Zoom;Corps + optique zoom 15/30°;98
Lumière;ETC;Source 4 PARNEL;Lentille Fresnel, 575 W;98
Lumière;ETC;Source 4 PAR;Verres diffusants, 575 W;98
Lumière;ETC;Iris pour découpes Source 4;;98
Lumière;ETC;Porte-gobo pour découpes Source;;98
Lumière;ETC;Porte-gobo verre taille B;"ETC                                              ""Donut"" pour découpes Source 4 ,5 à 50°";98
Lumière;ETC;Cône concentrique pour PAR;;98
Lumière;ETC;Volets;"ETC ""donut""                           ETC ""egg crate louver""";98
Lumière;ROBE;PATT 2013;Projecteur type « Softlight », set de 2;100
Lumière;ROBE;PICKLE PATT;Projecteur type « Softlight », set de 2;100
Lumière;ROBE;ONEPATT;Projecteur type « Softlight », set de 7;100
Lumière;PORTMAN;P3 Pix 3L;Projecteur d'ambiance déco, 3 x 230W, finition gold;100
Lumière;PORTMAN;P2 Hexaline;Projecteur d'ambiance déco, 6 x 250W;100
Lumière;PORTMAN;P1 Retro;Projecteur d'ambiance déco, 7 x 230W, finition silver;100
Lumière;ADB;ACP1001;Cyclïode asymétrique, 1000-1250 W;100
Lumière;OXO;Funstrip;Rampe de 10 BT dichro, 75W, 240V, DMX;100
Lumière;ELATION;DTW 350IP;DTW Blinder 350 IP, 1 800-3 200°K, PAN réglable;100
Lumière;ELATION;DTW 700IP;DTW Blinder 700 IP, 1 800-3 200°K, PAN réglable;100
Lumière;DTS;FL2600;4 x PAR36 650 W = 2600 W/220 V;100
Lumière;DTS;MOLEFAY;8 x PAR36 650 W = 5200 W/220 V;100
Lumière;SCENILUX;BT250;250 W/220 V, transfo. intégré;100
Lumière;SCENILUX;BT500;500 W/220 V, transfo. intégré;100
Lumière;SCENILUX;BT1000;1000 W/220 V, transfo. intégré;100
Lumière;ROBERT JULIAT;613SX;Découpe courte 1000 W/220V, 58°;101
Lumière;ROBERT JULIAT;614SX;Découpe 1000 W/220 V, zoom 16/35°;101
Lumière;ROBERT JULIAT;710SX;Découpe 2 kW/220 V zoom 10/25°;101
Lumière;ROBERT JULIAT;713SX;Découpe 2 kW/220 V zoom 29/50°;101
Lumière;ROBERT JULIAT;714SX2;Découpe 2 ou 2,5kW/220 V zoom 15/40°;101
Lumière;ROBERT JULIAT;Iris;Iris pour 613S/614SX/714SX;101
Lumière;ROBERT JULIAT;PG;Porte-gobo taille A pour 614SX/714SX;101
Lumière;ROBERT JULIAT;930 SNX MSR 2500;;102
Lumière;ROBERT JULIAT;933 SNX;MSR 2500 W, ballast déporté, 30 à 53°;102
Lumière;ROBERT JULIAT;934 SNX MSR 2500;;102
Lumière;ETC;Source Four LED Lustr2;Découpe 246W, 5600°K, RGBW, zoom,;102
Lumière;ETC;Source Four LED Lustr+;Découpe 170W, 5600°K, RGBW, zoom 15-30°;102
Lumière;ETC;Source Four LED Zoom;Découpe 170W, 5600°K, zoom 15-30° ou;102
Lumière;ETC;Source Four LED;Découpe 170W, 5600°K;102
Lumière;DESISTI;Magis 500 W;500 W/220 V, 3200°K;102
Lumière;DESISTI;Leonardo 1 kW;1000 W/220 V, 3200°K;102
Lumière;DESISTI;Leonardo 2 kW;2000 W/220 V, 3200°K;102
Lumière;DESISTI;Leonardo 5 kW;5000 W/220 V, 3200°K;102
Lumière;ARRI;Studio T12;Fresnel 12 KW, HMI, 12 kg;102
Lumière;ARRI;Compact SE4000;HMI 4000 W, ballast selfique DMX;102
Lumière;ARRI;Compact SE2500;HMI 2500 W, ballast selfique DMX;102
Lumière;ARRI;L5-C;Fresnel LED 115 W, volet 4 faces, 2 800 à 10 000°K;103
Lumière;ARRI;L7-C;Fresnel LED 160 W, volet 4 faces, 2 800 à 10 000°K;103
Lumière;ARRI;L10-C;;103
Lumière;ELATION;KL6-CW;Fresnel LED 150 W 5600°K;103
Lumière;DESISTI;Piccoletto;Fresnel LED 30W / 4000°K / blanc ou noir;103
Lumière;ROBERT JULIAT;310H;Lentille PC, 1000 W/220 V;104
Lumière;ROBERT JULIAT;329H;Lentille PC, 2000 W/220 V;104
Lumière;ROBERT JULIAT;Arthur;800W LED avec pied Gitzo, 5,5/15°;104
Lumière;ROBERT JULIAT;Victor;1800MSD avec pied Gitzo, 7/14,5°;104
Lumière;ROBERT JULIAT;Cyrano;2500HMI avec pied Gitzo, 3/8°;104
Lumière;ROBERT JULIAT;Aramis;2500HMI avec pied Gitzo, 4,5/8°;104
Lumière;ROBERT JULIAT;Ivanhoe 2500HMI avec pied;;104
Lumière;ROBERT JULIAT;Héloïse 2500HMI avec pied;Siège de pont   Pour poursuiteur suspendu;104
Lumière;ROBERT JULIAT;Héloïse;2500HMI;105
Lumière;INNLED;T4X noir;Mât d'éclairage LED noir ou blanc autonome, set de 2;108
Lumière;INNLED;T4X blanc;Mât d'éclairage LED noir ou blanc autonome, set de 2;108
Lumière;INNLED;T4X;;108
Lumière;PROLIGHTS;Eclipse Zoom;Mini-découpe LED 19 à 36°, noire, PC16, 35W;108
Lumière;PROLIGHTS;Gallery Eclipse;Mini-découpe LED 19 à 36°, noire, rail, 35W, 4000K;108
Lumière;MOLE;RICHARDSON EXPOLED;LED sur tige courbée inclinable 30cm, 50W/220V, noir;109
Lumière;MOLE;RICHARDSON VM70;Mini-découpe 70 W, dichroïque, blanche ou noire;109
Lumière;MOLE;RICHARDSON Mickey;BT dichroïque, à volets, 50 W, blanc ou noir;109
Lumière;CHAUVET;EZBAR;Set de 4 rampes de 3 spots LED 5W, 4000°K, autonome;109
Lumière;ENTTEC;E-STREAMER MK2;Enregistreur 48 univers DMX;109
Lumière;ENTTEC;Pixelator;Contrôleur LED, 8160 pixels en RGB via;109
Lumière;ENTTEC;PLINK;Contrôleur 340 pixels matricés;109
Lumière;CHAUVET;Festoon 2;Guirlande 20 ampoules RGB 15m;112
Lumière;ADB;MIKADO;12/24 circuits;114
Lumière;MA LIGHTING;Lightcommander II;12/24 circuits;114
Lumière;MA LIGHTING;MA2 on PC Command;B LO C S D E P U I S S A N C E S;114
Lumière;OXO;Simoun2;DMX, entrée PC16A/sorties PC16A;114
Lumière;RVE;Stager 6x2,3;DMX, entrée P17 32tri/sorties PC16A;114
Lumière;RVE;LIVE 12x3;DMX, entrée P17 63tri/sorties PC16A;114
Lumière;RVE;24x3 HDL;DMX, entrée P17 125tri/sorties PC16A;114
